group	p_value	n	p_adj	normality_ok	size_above_threshold
b_cell no	2.77402650745066e-09	975	2.77402650745066e-08	FALSE	TRUE
b_cell yes	4.9474860290511e-12	993	4.9474860290511e-11	FALSE	TRUE
cd4_t_cell no	0.357115930561687	975	1	TRUE	TRUE
cd4_t_cell yes	0.00744981060840942	993	0.0744981060840942	TRUE	TRUE
cd8_t_cell no	0.00329949790079559	975	0.0329949790079559	FALSE	TRUE
cd8_t_cell yes	0.00176594970047936	993	0.0176594970047936	FALSE	TRUE
monocyte no	0.017443279592647	975	0.17443279592647	TRUE	TRUE
monocyte yes	1.20377189380209e-07	993	1.20377189380209e-06	FALSE	TRUE
nk_cell no	1.40493407175701e-06	975	1.40493407175701e-05	FALSE	TRUE
nk_cell yes	7.37507984351577e-08	993	7.37507984351577e-07	FALSE	TRUE
