group	p_value	n	p_adj	normality_ok	size_above_threshold
b_cell no	0.000603646062350448	424	0.00603646062350448	FALSE	TRUE
b_cell yes	5.93543006513347e-10	485	5.93543006513347e-09	FALSE	TRUE
cd4_t_cell no	0.195413423885593	424	1	TRUE	TRUE
cd4_t_cell yes	0.233820919658797	485	1	TRUE	TRUE
cd8_t_cell no	0.00297891701095458	424	0.0297891701095458	FALSE	TRUE
cd8_t_cell yes	0.000731212639511196	485	0.00731212639511196	FALSE	TRUE
monocyte no	0.042752349498271	424	0.42752349498271	TRUE	TRUE
monocyte yes	0.00546250250012769	485	0.0546250250012769	TRUE	TRUE
nk_cell no	0.0556203913290337	424	0.556203913290337	TRUE	TRUE
nk_cell yes	1.80118404606705e-07	485	1.80118404606705e-06	FALSE	TRUE
